User-ID,ISBN,Book-Title,Book-Rating
11676,067155302X,Harvest,10
11676,1570710295,365 Days of Creative Play: For Children 2 Yrs. &amp; Up,10
11676,0553268880,The Prince of Tides,10
11676,076072380X,,10
11676,1575660679,Apache Temptation,10
11676,0600571025,The Hamlyn complete knitting course,10
11676,1575663236,Finders Keepers,10
11676,0553268449,JITTERBUG PERFUME,10
11676,0446516325,Fat Tuesday,10
11676,1575669056,The Visitors' Book,10
11676,0553268120,All Creatures Great and Small,10
11676,0553266519,,10
11676,1576734560,Christmas Stories for the Heart (Stories For the Heart),10
11676,1576734641,The Gift for All People,10
11676,075966661X,Exit Unicorns,10
11676,0440209412,Message from Nam,10
11676,0440209293,The Black Rose,10
11676,0595304311,Flowers for Travis,10
11676,1573227889,Tipping the Velvet,10
11676,1573226106,Kitchen Table Wisdom: Stories That Heal,10
11676,0312875681,Forests of the Heart (Newford),10
11676,0764226312,Arena,10
11676,0590767836,"Attack of the Graveyard Ghouls (Goosebumps Series 2000, No 11)",10
11676,1572460733,The Law,10
11676,0312906013,Herbs and Apples,10
11676,055327418X,"Startide Rising (The Uplift Saga, Book 2)",10
11676,0593037820,,10
11676,0553272535,Night,10
11676,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,10
11676,0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),10
11676,0761121129,The Breast Book: An Intimate and Curious History,10
11676,0595011454,Private Wars,10
11676,0312868278,Dark Cities Underground,10
11676,0312863586,Dracula,10
11676,0380720132,The Mystery of the Cupboard (Indian in the Cupboard),10
11676,0380724979,Sanctuary (Peter Decker &amp; Rina Lazarus Novels (Paperback)),10
11676,0380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),10
11676,075820230X,Chocolate Chip Cookie Murder (Hannah Swensen Mysteries (Paperback)),10
11676,0312168748,James Herriot's Animal Stories,10
11676,0446520802,The Notebook,10
11676,0312195516,The Red Tent (Bestselling Backlist),10
11676,0380765462,Tombstone Courage: A Joanna Brady Mystery,10
11676,0312187106,The Diary of Mattie Spenser,10
11676,0440204887,Illusions: The Adventures of a Reluctant Messiah,10
11676,0380771713,No Other Man,10
11676,0380774933,Keeper of the Heart,10
11676,1585790370,My Cousin Rachel (Common Reader Editions),10
